# Pathway	1_2kraken_Abundance	10_2kraken_Abundance	13_2kraken_Abundance	16_2kraken_Abundance	17_2_2kraken_Abundance	17_2kraken_Abundance	18_2kraken_Abundance	19_2kraken_Abundance	20_2kraken_Abundance	21_2kraken_Abundance	22_2kraken_Abundance	23_2kraken_Abundance	24_2kraken_Abundance	25_2kraken_Abundance	26_2kraken_Abundance	27_2kraken_Abundance	2A_2kraken_Abundance	2B_2kraken_Abundance	2C_2kraken_Abundance	3A_2kraken_Abundance	3B_2kraken_Abundance	4_2kraken_Abundance	8_2_2kraken_Abundance	8_2kraken_Abundance	MmtII1_2_2kraken_Abundance	MmtII1_2_SE_full_Abundance	MmtII1_2kraken_Abundance	MmtII2_2_2kraken_Abundance	MmtII2_2kraken_Abundance	MmtII3_2_2kraken_Abundance	MmtII3_2kraken_Abundance
UNMAPPED	8523303.061954448	10030789.237274919	3587649.3872857215	11685336.942230176	0	7974506.707943343	0	8418699.053824048	0	9465636.336817568	7861448.710813638	9295679.446547382	9633806.482474448	11135559.499394964	6537211.6230493365	7925885.2533810055	4454014.837160116	3653136.8340012133	4453617.677946996	4854816.935596	1117981.2320440584	3830308.420690347	5015336.551719963	5801234.298630582	2638679.377482848	2959549.223062475	1594736.4351907154	3378447.5011184444	2700791.744947917	3395046.918015361	2886799.0365718976
UNINTEGRATED	3762.9324967532	541.3125228294	2624.399381026	731.5994396814	0	478.9514792032	0	624.5582923874	0	3516.3692230977	2583.9554055432	3593.4487964951	4866.8962749414	4012.7965625523	2071.0466109734	3005.0321353712	63041.985309249	39960.9147611227	56595.6427842765	2328.398849458	464.2243010786	1569.3675418246	1906.8020865174	2242.8507855967	186543.1952393204	273369.8478116298	116734.8981799888	259070.6267751063	203515.3787037702	121862.2237517538	103759.484363538
UNINTEGRATED|unclassified	2601.2083766914	NA	3308.4396492459	1566.0477065449	NA	NA	NA	680.3557209122	NA	1171.8416480418	1393.1787007196	2279.0799288543	NA	1401.0461348118	NA	3050.7735037471	63041.985309249	39960.9147611228	56595.6427842766	1695.7145310305	NA	5236.9097581192	4121.857427566	4995.4255906083	163067.1508604453	240883.2649140867	93368.2945141151	204695.3640208881	177193.5435710984	103126.4225211573	84879.9996900258
UNINTEGRATED|g__Enterobacter.s__Enterobacter_cloacae	1060.6167974742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	567.1974821191	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_casei_paracasei	667.7040260909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_plantarum	190.7659083424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	176.1099533687	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)	6.4468110511	NA	7.9079803459	1.3586956522	NA	NA	NA	0.3895038069	NA	7.2413702853	3.9894789168	1.497005988	2.9748476082	7.3477272038	NA	4.3311436767	50.5915418597	32.1897990099	38.285054431	1.8214936248	NA	1.0678674185	2.8026141414	2.8026141414	66.4991861705	102.0010134724	46.9149205389	723.2953227448	574.5421578904	204.2410441714	158.8621189934
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)|unclassified	6.4468110511	NA	7.9079803459	1.3586956522	NA	NA	NA	0.3895038069	NA	0.7389468073	0.6210684091	1.1859870151	NA	1.8365186999	NA	0.4137992701	50.5915418597	32.1897990099	38.285054431	1.8214936248	NA	1.0678674185	2.8026141414	2.8026141414	66.4991861705	102.0010134724	46.9149205389	723.2953227448	574.5421578904	204.2410441714	158.8621189934
PWY-7221: guanosine ribonucleotides de novo biosynthesis	5.7028798813	NA	1.6278886298	1.1685655857	NA	NA	NA	NA	NA	NA	NA	2.8366310762	4.7925004525	3.4195817594	NA	4.8172111211	49.4489197988	NA	47.2066172527	NA	NA	NA	NA	NA	214.7933331283	297.3765430904	139.51875593	300.792184233	257.1137890026	172.7230013233	150.6927654984
PWY-7219: adenosine ribonucleotides de novo biosynthesis	4.7617921449	1.2410459115	2.8363067162	NA	NA	NA	NA	0.9049354384	NA	1.4022893002	2.8521737245	NA	3.3221461281	3.3872218551	NA	NA	93.6685277915	31.4471896025	89.6855681356	7.2679265132	1.3643908356	1.6145754724	NA	NA	971.0316391888	1330.8778234995	618.6020655535	638.0157573002	625.6241548284	339.7912912141	302.6721274095
PWY-3781: aerobic respiration I (cytochrome c)	3.3004430179	NA	7.7697291406	NA	NA	NA	NA	NA	NA	4.4771877362	6.549156973	5.0405870347	16.6905249478	19.2450742808	6.9469530162	12.6652889728	197.9126048359	180.5729278838	278.5715226043	NA	NA	NA	1.0033574068	1.0033574068	137.1706357923	167.6044138644	72.790028001	155.6977224495	119.0197820953	65.9007735099	59.2964119154
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	2.6086765908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6620005053	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	2.4988559658	NA	0.8675137962	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2010289588	3.2922099645	NA	5.1602928741	62.7302937711	NA	56.6486131605	NA	NA	NA	NA	NA	217.1238766083	306.965150304	139.0083234412	314.8678344355	250.2509334518	142.5626629067	127.3081814534
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	2.4215061853	NA	NA	NA	NA	NA	NA	NA	NA	2.2276387089	NA	NA	2.0581043386	2.8638888534	2.496685213	NA	9.1608289797	NA	NA	NA	NA	NA	NA	NA	52.7982970812	77.6595378648	24.5651758061	90.1374341843	95.5855775033	58.0795133776	29.8268045947
SO4ASSIM-PWY: sulfate reduction I (assimilatory)|g__Enterobacter.s__Enterobacter_cloacae	1.8637942539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWY-3841: folate transformations II	2.3631796124	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.431375552	2.1550238711	2.3000547638	NA	NA	NA	23.2106216626	18.7142883488	14.9370710444	NA	NA	2.5374425296	NA	NA	50.9644691154	88.8077310936	38.9382052423	111.8192199996	83.9093831692	19.173114604	25.846884622
TCA: TCA cycle I (prokaryotic)	2.3372650291	NA	NA	NA	NA	NA	NA	NA	NA	2.3468761438	NA	NA	2.8982685273	2.2869565687	2.2598262959	2.3014798744	71.6956241897	21.2436153682	82.6487319153	NA	NA	NA	NA	NA	77.4583452142	99.752930608	44.15410756	118.0688694254	135.884268353	161.4251851531	158.1050641301
PWY-7663: gondoate biosynthesis (anaerobic)	2.3356558532	NA	NA	NA	NA	NA	NA	NA	NA	1.1848341232	NA	NA	NA	NA	NA	NA	28.3977289569	1.3629107954	25.9145216621	NA	NA	NA	NA	NA	257.0062252326	347.934183314	140.3225997308	293.8145090488	282.7700283023	95.2315062086	65.7199993931
PWY-7663: gondoate biosynthesis (anaerobic)|g__Enterobacter.s__Enterobacter_cloacae	1.9525710057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWY-6123: inosine-5'-phosphate biosynthesis I	2.3094428362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0848052626	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.9129818261	66.4008098582	17.7806595985	54.1008392088	52.076005811	40.4212579982	30.9058632039
PWY-7234: inosine-5'-phosphate biosynthesis III	2.3094428362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.9129818261	66.4008098582	17.7806595985	49.5169854348	48.7734832861	34.6069856125	22.9597202452
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	2.3059420564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.825065778	NA	NA	NA	NA	NA	NA	NA	NA	NA
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Enterobacter.s__Enterobacter_cloacae	2.3059420564	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.825065778	NA	NA	NA	NA	NA	NA	NA	NA	NA
FASYN-ELONG-PWY: fatty acid elongation -- saturated	2.1708678469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.2995366588	NA	NA	NA	NA	NA	131.6120864977	155.9538478826	101.0538197554	81.4420476365	74.8531919894	51.4124129835	50.549961789
PWY-7664: oleate biosynthesis IV (anaerobic)	2.1342298856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.0347527835	NA	NA	NA	NA	NA	NA	NA	NA	52.3721893431	40.6768736064	51.041059177	45.5978249822
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	2.090999295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.4508698309	NA	NA	NA	NA	NA	NA	NA	NA	35.9750357315	27.9071559142	43.9558374334	40.8007668154
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	2.0872606665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9526893375	12.5392452452	NA	NA	NA	NA	NA	231.9616549528	319.521113205	144.9700161848	260.641206228	191.9801775141	58.6673085128	47.0276867503
PWY-7111: pyruvate fermentation to isobutanol (engineered)	2.0460032728	NA	3.2368426781	NA	NA	NA	NA	NA	NA	2.2820992095	2.1720361129	1.8645489067	1.9055339698	1.8632998145	3.8525182145	0.7807521059	138.1237619154	87.645689708	56.1539900786	NA	3.3942996929	1.5467601373	NA	NA	187.8971834856	256.834674979	119.3317332352	321.0581131344	249.4920414479	189.5653996429	135.5146987403
