ID	1_taxonomic_profile	10_taxonomic_profile	13_taxonomic_profile	16_taxonomic_profile	17_2_taxonomic_profile	17_taxonomic_profile	18_taxonomic_profile	19_taxonomic_profile	20_taxonomic_profile	21_taxonomic_profile	22_taxonomic_profile	23_taxonomic_profile	24_taxonomic_profile	25_taxonomic_profile	26_taxonomic_profile	27_taxonomic_profile	2A_taxonomic_profile	2B_taxonomic_profile	2C_taxonomic_profile	3A_taxonomic_profile	3B_taxonomic_profile	4_taxonomic_profile	8_2_taxonomic_profile	8_taxonomic_profile	MmtII1_2_taxonomic_profile	MmtII1_taxonomic_profile	MmtII2_2_taxonomic_profile	MmtII2_taxonomic_profile	MmtII3_2_taxonomic_profile	MmtII3_taxonomic_profile	MmtII1_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Archaea	21.91613	84.54989	60.96252	87.6713	100.0	54.71589	78.37321	79.05529	35.42537	35.80311	34.17402	42.63258	42.13863	44.40535	30.86903	19.14332	56.32756	4.59772	24.28651	82.02991	62.99023	16.90983	55.15812	53.98783	0.18367	0.17174	0.07402	0.09041	1.68503	1.65298	0.17174
k__Archaea|p__Euryarchaeota	18.27374	54.97471	43.2468	35.91572	100.0	54.17842	76.10635	78.40981	35.42537	35.39842	32.4716	37.12538	40.35017	40.08814	25.42454	17.76389	31.51827	1.07839	24.28651	15.6918	8.90444	13.82102	23.78705	24.74961	0.18367	0.17174	0.07402	0.09041	1.68503	1.65298	0.17174
k__Archaea|p__Euryarchaeota|c__Halobacteria	18.27374	48.73299	38.07489	32.59258	100.0	54.17842	76.10635	78.40981	35.42537	35.39842	32.4716	37.12538	40.35017	40.08814	25.42454	17.76389	31.51827	1.07839	24.28651	15.6918	8.90444	13.82102	23.78705	24.74961	0.18367	0.17174	0.07402	0.09041	1.68503	1.65298	0.17174
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	18.27374	48.73299	38.07489	32.59258	100.0	54.17842	76.10635	78.40981	35.42537	35.39842	32.4716	37.12538	40.35017	40.08814	25.42454	17.76389	31.51827	1.07839	24.28651	15.6918	8.90444	13.82102	23.78705	24.74961	0.18367	0.17174	0.07402	0.09041	1.68503	1.65298	0.17174
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	18.27374	48.73299	38.07489	32.59258	100.0	54.17842	76.10635	78.40981	35.42537	35.39842	32.4716	37.12538	40.35017	40.08814	25.42454	17.76389	31.51827	1.07839	24.28651	15.6918	8.90444	13.82102	23.78705	24.74961	0.18367	0.17174	0.07402	0.09041	1.68503	1.65298	0.17174
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus	0.0	19.23492	0.0	14.07057	100.0	54.17842	19.9144	32.20536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13424	0.0	0.0	2.85494	3.10606	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_paucihalophilus	0.0	19.23492	0.0	14.07057	100.0	54.17842	19.9144	32.20536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13424	0.0	0.0	2.85494	3.10606	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haladaptatus|s__Haladaptatus_paucihalophilus|t__Haladaptatus_paucihalophilus_unclassified	0.0	19.23492	0.0	14.07057	100.0	54.17842	19.9144	32.20536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13424	0.0	0.0	2.85494	3.10606	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37849	4.18025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_jeotgali	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37849	4.18025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halalkalicoccus|s__Halalkalicoccus_jeotgali|t__Halalkalicoccus_jeotgali_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37849	4.18025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium	8.79131	17.60378	29.52105	11.39264	0.0	0.0	49.06195	42.41401	14.19142	9.33384	10.5386	13.92825	18.4843	2.7431	9.23355	9.75225	24.04214	1.07839	15.50686	9.8733	4.93574	6.22502	14.23057	14.6318	0.15047	0.16103	0.06094	0.08095	1.60173	1.60615	0.16103
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halobacterium|s__Halobacterium_unclassified	8.79131	17.60378	29.52105	11.39264	0.0	0.0	49.06195	42.41401	14.19142	9.33384	10.5386	13.92825	18.4843	2.7431	9.23355	9.75225	24.04214	1.07839	15.50686	9.8733	4.93574	6.22502	14.23057	14.6318	0.15047	0.16103	0.06094	0.08095	1.60173	1.60615	0.16103
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus	9.42238	11.89428	8.55384	7.12937	0.0	0.0	7.12999	3.79044	20.65102	24.33504	20.4865	17.65466	16.71545	16.89294	16.191	8.01164	7.47613	0.0	8.77965	2.68426	3.9687	7.596	6.54729	6.51364	0.0332	0.01071	0.01309	0.00946	0.0833	0.04683	0.01071
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus|s__Halococcus_hamelinensis	0.20769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18061	0.79592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus|s__Halococcus_hamelinensis|t__Halococcus_hamelinensis_unclassified	0.20769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18061	0.79592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Halococcus|s__Halococcus_unclassified	9.2147	11.89428	8.55384	7.12937	0.0	0.0	7.12999	3.79044	19.47041	23.53912	20.4865	17.65466	16.71545	16.89294	16.191	8.01164	7.47613	0.0	8.77965	2.68426	3.9687	7.596	6.54729	6.51364	0.0332	0.01071	0.01309	0.00946	0.0833	0.04683	0.01071
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloferax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloferax|s__Haloferax_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Natrialba	0.06005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58293	1.21192	0.9533	1.23827	0.97016	9.08943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15426	0.49811	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Natrialba|s__Natrialba_unclassified	0.06005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58293	1.21192	0.9533	1.23827	0.97016	9.08943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15426	0.49811	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Natrinema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14379	0.4932	0.0	0.0	8.48468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
